Frequency,Power Loss,Distance,Height Difference,Peak Avg. Height Diff,Peak Avg. Dist.,Max Peak,Peak Count
0.449425,139.09,2.220457921056062,-15.0,7.166666666666667,0.27864463479000867,19.0,7
0.449425,142.24,2.2697330276807692,-14.0,6.428571428571429,0.23883772285572188,19.0,8
0.449425,141.45999999999998,2.2805989028764784,-14.0,7.0,0.24039007638487547,22.0,8
0.449425,137.48000000000002,2.319007717398434,-12.0,5.5,0.21514241865201056,19.0,9
0.449425,137.04000000000002,2.319007717398434,-12.0,5.5,0.21514241865201056,19.0,9
0.449425,138.14,2.3682819902074517,-10.0,7.0,0.24039007638487547,22.0,8
0.449425,138.95999999999998,2.3682819902074517,-10.0,7.0,0.24039007638487547,22.0,8
0.449425,139.84,2.4175558461075384,-8.0,7.833333333333333,0.2822668016419036,22.0,7
0.449425,144.76999999999998,2.4175558461075384,-8.0,7.833333333333333,0.2822668016419036,22.0,7
0.449425,144.48000000000002,2.4668292850970817,-8.0,7.0,0.24194237035591876,24.0,8
0.449425,146.13,2.4776934926529592,-10.0,5.75,0.20825723381564687,25.0,9
0.449425,147.67000000000002,2.5161023071749153,-11.0,6.25,0.2068984722461844,25.0,9
0.449425,146.44,2.526966097817915,-11.0,6.142857142857143,0.23800763126554816,24.0,8
0.449425,144.47,2.5653749123398715,-8.0,6.666666666666667,0.22835457155674288,25.0,10
0.449425,145.35,2.5762382860688264,-9.0,7.142857142857143,0.26854550476182687,24.0,8
0.449425,145.7,2.625510057404523,-8.0,4.6,0.2055181320998674,23.0,11
0.449425,147.45,2.6363725973023264,-9.0,7.75,0.252097266211041,22.0,9
0.449425,145.48000000000002,2.6363725973023264,-9.0,7.75,0.252097266211041,22.0,9
0.449425,145.72,2.685643534804096,-10.0,4.875,0.241134151462291,21.0,9
0.449425,146.11,2.685643534804096,-10.0,4.875,0.241134151462291,21.0,9
0.449425,147.78,2.734914055387147,-9.0,7.428571428571429,0.3061187670724402,21.0,8
0.449425,148.55,2.7457753445283597,-9.0,8.0,0.3061173042092626,23.0,8
0.449425,148.32999999999998,2.7566362167485194,-10.0,6.0,0.3279088507891951,21.0,7
0.449425,147.75,2.795045031270476,-8.0,6.666666666666667,0.3215091446505914,23.0,7
0.449425,149.13,2.805905486568417,-8.0,6.166666666666667,0.3507372486918285,21.0,7
0.449425,149.76999999999998,2.8443143010903733,-7.0,6.0,0.3279088507891951,21.0,7
0.449425,150.7,2.8551743394644844,-8.0,5.857142857142857,0.30767151045687025,19.0,8
0.449425,149.7,2.893583153986442,-7.0,6.166666666666667,0.3507372486918285,21.0,7
0.449425,150.99,2.9044430097265517,-8.0,4.6,0.24935333634034146,19.0,11
0.449425,149.92000000000002,2.9537114973539027,-6.0,4.888888888888889,0.2782668764847682,19.0,10
0.449425,150.88,2.9645719249901696,-5.0,4.75,0.30073055493292317,21.0,9
0.449425,149.7,3.0029798023462813,-3.0,3.5,0.21536903848450512,21.0,11
0.449425,146.17000000000002,3.0029798023462813,-3.0,3.5,0.21536903848450512,21.0,11
0.449425,149.45,3.013840281641023,-3.0,4.625,0.30073055493292317,21.0,9
0.449425,148.38,3.0522479247034147,-3.0,4.75,0.30073055493292317,21.0,9
0.449425,147.57,3.06310845565727,-3.0,4.625,0.30208914983968815,21.0,9
0.449425,149.74,3.1123764470390918,-3.0,3.6,0.24659828578134468,21.0,11
0.449425,148.12,3.1123764470390918,-3.0,3.6,0.24659828578134468,21.0,11
0.449425,147.4,3.161644255785334,-2.0,4.166666666666667,0.23472322993078884,21.0,13
0.449425,147.45999999999998,3.2000511959611626,-2.0,3.6,0.24659828578134468,21.0,11
0.449425,145.68,3.2109118818961773,-4.0,3.4545454545454546,0.22516778440003815,21.0,12
0.449425,147.4,3.249318587774678,-2.0,3.923076923076923,0.2234117902897111,21.0,14
0.449425,147.75,3.2601793253713525,-2.0,4.181818181818182,0.2650194721791471,20.0,12
0.449425,148.1,3.2985857969516266,0.0,3.75,0.24293512147193116,21.0,13
0.449425,146.9,3.2985857969516266,0.0,3.75,0.24293512147193116,21.0,13
0.449425,149.06,3.347852823491741,0.0,4.181818181818182,0.2650194721791471,20.0,12
0.449425,150.54000000000002,3.3587136644136493,0.0,3.142857142857143,0.206262618634007,21.0,15
0.449425,149.67000000000002,3.397119667394758,1.0,3.8461538461538463,0.22508328183516974,21.0,14
0.449425,151.43,3.407980559980237,2.0,3.4166666666666665,0.21872063106402195,22.0,13
0.449425,151.4,3.4572472729096555,2.0,4.0,0.2593569059952346,22.0,13
0.449425,151.51999999999998,3.4572472729096555,2.0,4.0,0.2593569059952346,22.0,13
0.449425,150.66,3.468108737430571,0.0,4.363636363636363,0.25204126959369555,23.0,12
0.449425,152.04000000000002,3.517375319390731,2.0,3.769230769230769,0.24107796013308894,23.0,14
0.449425,150.75,3.5557801508581424,2.0,4.416666666666667,0.26436819276646395,23.0,13
0.449425,151.66,3.566641718714268,1.0,3.8333333333333335,0.2611672238733162,22.0,13
0.449425,152.63,3.566641718714268,1.0,3.8333333333333335,0.2611672238733162,22.0,13
0.449425,151.32999999999998,3.615907935400925,0.0,4.090909090909091,0.28141839305674343,21.0,12
0.449425,149.61,3.615907935400925,0.0,4.090909090909091,0.28141839305674343,21.0,12
0.449425,148.26,3.6651739694504304,-1.0,3.3076923076923075,0.23895936973782866,21.0,14
0.449425,149.18,3.676036160931805,-3.0,2.4285714285714284,0.1940981858552541,19.0,15
0.449425,148.8,3.6868988727058274,-1.0,2.8461538461538463,0.20986464730453597,20.0,14
0.449425,148.53,3.7253020640161725,-2.0,2.8181818181818183,0.251513055115392,20.0,12
0.449425,147.53,3.736164827464917,0.0,2.8461538461538463,0.24737409859169837,18.0,14
0.449425,147.88,3.774567784463499,-3.0,3.5714285714285716,0.242229174890916,20.0,15
